ISO3Code,UNCode,OfficialName,UNICEFReportRegion1,UNICEFReportRegion2,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion5,M49Region1,M49Region2,M49Region3,WBRegion4,UNICEFRegion,SDGRegion,M49Region,SDGRegionrev1,SDGRegionrev2,GBDRegion1,GBDRegion,sdg,unicef,gbd,m49,wb,sdg.rev1,sdg.rev2
SWZ,748,Eswatini,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Southern Africa,,Lower middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Southern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,2,2,2
SYC,690,Seychelles,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,High income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Southeast Asia,"Southeast Asia, East Asia, Oceania",2,2,7,2,4,2,2
SYR,760,Syrian Arab Republic,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Low income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,1,4,4
TCD,148,Chad,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Middle Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2
TGO,768,Togo,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2
THA,764,Thailand,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Upper middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,3,6,7
TJK,762,Tajikistan,Europe and Central Asia,Eastern Europe and Central Asia,Central Asia and Southern Asia,Central Asia,,Asia,Central Asia,,Low income,Eastern Europe and Central Asia,Central Asia and Southern Asia,Asia,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Asia,"Central Europe, Eastern Europe,Central Asia",1,3,3,1,1,3,3
TKM,795,Turkmenistan,Europe and Central Asia,Eastern Europe and Central Asia,Central Asia and Southern Asia,Central Asia,,Asia,Central Asia,,Upper middle income,Eastern Europe and Central Asia,Central Asia and Southern Asia,Asia,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Asia,"Central Europe, Eastern Europe,Central Asia",1,3,3,1,3,3,3
TLS,626,Timor-Leste,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Lower middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,2,6,7
TON,776,Tonga,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Polynesia,,Upper middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,3,6,6
TTO,780,Trinidad and Tobago,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,High income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,4,5,5
TUN,788,Tunisia,Middle East and North Africa,,Western Asia and Northern Africa,Northern Africa,,Africa,Northern Africa,,Lower middle income,Middle East and North Africa,Western Asia and Northern Africa,Africa,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,2,2,4,4
TUR,792,Turkey,Europe and Central Asia,Eastern Europe and Central Asia,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Upper middle income,Eastern Europe and Central Asia,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,3,1,1,3,4,4
TUV,798,Tuvalu,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Polynesia,,Upper middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,3,6,6
TZA,834,United Republic of Tanzania,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2
UGA,800,Uganda,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2
UKR,804,Ukraine,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Eastern Europe,,Lower middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Eastern Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,2,3,3
URY,858,Uruguay,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,High income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Southern Latin America,High income,5,6,4,4,4,5,5
USA,840,United States of America,North America,,Northern America and Europe,Northern America,"North America, Europe, Australia and New Zealand",Americas,Northern America,,High income,North America,Northern America and Europe,Northern America,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",High-income North America,High income,3,9,4,6,4,3,3
UZB,860,Uzbekistan,Europe and Central Asia,Eastern Europe and Central Asia,Central Asia and Southern Asia,Central Asia,,Asia,Central Asia,,Lower middle income,Eastern Europe and Central Asia,Central Asia and Southern Asia,Asia,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Asia,"Central Europe, Eastern Europe,Central Asia",1,3,3,1,2,3,3
VCT,670,Saint Vincent and the Grenadines,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,3,5,5
VEN,862,Venezuela (Bolivarian Republic of),Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Central Latin America,Latin America & Caribbean,5,6,5,4,3,5,5
VNM,704,Viet Nam,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Lower middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,2,6,7
VUT,548,Vanuatu,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Melanesia,,Lower middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,2,6,6
WSM,882,Samoa,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Polynesia,,Upper middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,3,6,6
YEM,887,Yemen,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Low income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,1,4,4
ZAF,710,South Africa,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Southern Africa,,Upper middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Southern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,3,2,2
ZMB,894,Zambia,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Lower middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,2,2,2
ZWE,716,Zimbabwe,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Lower middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Southern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,2,2,2
